,text
0,안녕하세요
1,주식 분석과 다수입니다
2,금일은 에코프로와 테슬라에 대해서
3,말씀드릴 건데요 자 에코프로가 이전
4,시간에 반드시 반등한다라고 말씀드렸죠
5,금일 같은 경우 마이너스 3.3%
6,정도 하락하다가
7,4.5%까지
8,급등을 했습니다
9,물량을 정리하면서
10,내려가기만 하지 않고 내려가는
11,와중에
12,계속
13,급등한다고 했죠 그래서 이런 형태를
14,보시고 사람들이
15,끝까지
16,기대를 합니다 이렇게 내려갔을 때마다
17,사람들이
18,물타기를 하고 있다
19,물타기를 할 때마다
20,큰손들이
21,물량을
22,넘기고 있다 이러한 과정이 반복되면서
23,급등하는 현상들이 실제로 나오고요
24,사실 이러한 구간에서
25,단타를 치기가 참 좋습니다 그래서
26,이렇게 잘 보시면
27,테슬라 같은 경우 똑같죠 자요
28,그래프하고
29,테슬라의 그래프는 딱 어디에요요
30,지점이 와 있잖아요 그래서 최고점에서
31,내려갔다가
32,급등하고 내려갔다가 자세히 보시면
33,이게 그냥 이렇게 내려가는게 아니고요
34,내려갈 때는
35,항상 기억을 하세요
36,내려가다가 올라가고 내려가다가
37,올라가고 내려가다가 올라갑니다 이게
38,뭐예요
39,물량을 정리할 때는 내리면서
40,정리하는게 아니라 중간중간에 계속해서
41,올리기 때문에요 안에서 탈출할 수
42,있는 시간들이 많이 나온다 그래서
43,이제 에코프로 같은 경우도 마찬가지죠
44,최고점 나오고 내려갔다 올라가고
45,내려갔다
46,급등들이 나오죠이 테슬라의 주가처럼
47,실제로 비슷하게 갈 거예요 잘 보시면
48,이렇게 결과적으로 내려왔잖아요
49,내려오는데
50,내려가는 길에서
51,급등들이 나오기 때문에 여러분들이
52,만약에 에코프로 보유하셨다면
53,탈출할 수 있는 시간들이 계속해서
54,나온다이
55,점 참고하시고 지금은 물타기를
56,한다기보다는
57,급등이 나왔을 때
58,빠져나오시길 바라겠습니다 그래서 이전
59,시간과 동일하게
60,테슬라도 지금 계속해서 연기를
61,보여주고 있죠 이렇게 올라가는
62,모습들이
63,계속 연기하고 있는 거구요
64,테슬라는 현재의 투자 메리트가 크게
65,없습니다 다만 있다고 한다면 이런
66,주식들이 결과적으로 내려가는 과정에서
67,이때만 보시더라도
68,현재 이제 축소시대에 들어간다고 했죠
69,물의 시대는 일본 전성기 한국 전성기
70,홍콩 전성기 대만 전성기라고 했죠
71,작은 나라들이
72,큰 힘을 발휘할 수 있는
73,시대가 열립니다 그래서 아시아
74,국가들이 대세 전성기를 탈 것이고요
75,미국이란 나라는
76,물의 시대하고 전혀 반대의 색깔입니다
77,바로 불의 색을 가진게 바로
78,미국입니다
79,타오르죠 양기라고 하죠 뜨겁죠
80,힘이 세죠 덩치가 크죠
81,키가 정말 큽니다
82,이 미국이 갖고 있는이 불이라는
83,기운이
84,결국에 영끌이기도 하고 대출이기도
85,합니다
86,무모한 도전이기도 합니다
87,현재 미국이란 나라가 결과적으로
88,물의 시대를 만나면서
89,몰락을 하고 있다는 거
90,현재 멤버십 종목으로
91,99.9% 수익 날 종목 5월 22일
92,추천주 가입 버튼 누르시면
93,멤버십 영상 시청 가능하구요
94,금일방송 여기까지 하겠습니다
95,다음 시간에
96,뵙겠습니다
97,감사합니다
98,주가는
99,걱정의 벽을 타고
100,슬금슬금 오릅니다
101,주식 시장에 비관적인 뉴스들이
102,넘쳐나고
103,투자자들이 공포에 젖어 있을 때가
104,지나고 보면 그때가 항상
105,바닥이었습니다
106,장기투자자들은
107,단기적인 주가의 등락에
108,마음까지 흔들릴 필요 전혀 없습니다
109,특히 우리가 투자 중인 종목들은
110,미래의 성장성도 가장
111,높은 분야이고 또 가장 안전한 시장
112,전체에 투자는
113,etf 종목들입니다
114,4월 27일
115,목요일입니다 오늘의 미국 증시 결과를
116,봅니다 다우와 s&p 500 지수는
117,하락을 하고
118,기술주와 필라델피아 반도체는
119,상승했습니다 다우지수가
120,"0.68% 하락 33,301"
121,SB 500 직선은 0.38%
122,하락했습니다 아직
123,4천 넘어 있습니다
124,"4,055 나스닥"
125,지수가
126,"0.47% 상승 11,854입니다"
127,
128,필라델피아 반도체 지수는
129,0.57% 가장 높이 올랐습니다
130,
131,2922와 반도체 지수는 상승 마감을
132,한 날입니다
133,빛의 그 기업들의이 호실적에도
134,특히 포스트 리퍼블릭은행
135,은행권 위기 우려가 어제에이어서
136,오늘도 시장을 지배하면서 전체적인
137,약세 흐름이 나타났습니다 어닝
138,서프라이즈의 치솟은 마이크로소프트가
139,나스닥을 끌어올렸습니다
140,1분기 예금장구가
141,40% 이상 줄었다고 발표한
142,포스트리퍼블릭 은행의 주가가 오늘도
143,30%
144,폭락했습니다 어제 반토막 날짜 하루에
145,어제 전일 50% 가까이
146,폭락한데이어서 오늘 또
147,30%나 또 하락을 했습니다 어제
148,주가가
149,처음으로 한 자릿수인
150,8달러까지 내려갔었는데 오늘도 30%
151,폭락을 해서
152,현재
153,5.69달러입니다
154,역대 최저치로 떨어졌어요 이렇게
155,주가가 폭락을 하면서
156,장중 한때 주식 거래까지 중단되기도
157,했었습니다
158,포스트 리퍼블릭 이은행은
159,s&p 500 지수 내에 들어 있어요
160,그런데
161,앞으로는 예수님이 500 주소에서
162,퇴출될 가능성이 높아졌습니다
163,시가총액이
164,완전히 쪼그라들어서
165,s&p500지수네 500대 기업들
166,중에서
167,현재 가장
168,적은 시가총액을 유지하고 있습니다
169,앞서서 지난달에도 1등
170,금융 1등주죠
171,jp모건 뱅크 오브 아메리카이 포함한
172,대역은행 열한곳이
173,퍼스트 리퍼블릭의
174,총 300억 달러 약
175,40조 원의 유동성을 지원을
176,했었습니다 그런 조치에도 불구하고
177,지난달 은행권 혼란 후에
178,월가 예상보다 예금이 훨씬 많이
179,이탈한 것으로 확인이 되면서 어제
180,오늘
181,폭락을 한 것입니다
182,포스트 리퍼블릭은 1분기 실적
183,발표에서 1000억 달러의 예금이
184,빠져나갔다고
185,밝혔었습니다 또한 지난달에
186,실리콘밸리 은행 svb
187,파산사태 이후에
188,잠재되어 있던 은행 시스템 권력성에
189,대한 우려도 다시 불러일으킨
190,상황입니다
191,지난달 3월달에
192,실리콘밸리 은행
193,파산 당시에
194,정말 빠른 손을 썼죠 대책 마련에
195,적극적으로 개입을 했던 미국 당국이
196,현재로서는 별다른 움직임이 없는
197,것으로 알려져 있어요
198,cnbc는 소식통을 인용해서 미국
199,정부가
200,퍼스트 리퍼블릭 은행에 대한
201,급한 불을 끄는 작업에 개입하는 것을
202,꺼리고 있다라고 전했습니다 또 다른
203,지역은행 백 웨스트은행은 1분기의
204,예금이 272억 달러 한 16% 가량
205,줄어든 이후에 3월 20일 이후 다시
206,18억달러 가량의 예금이
207,50% 가까이 올랐고요 이때만
208,보시더라도
209,50% 정도 올랐고요 이때만
210,보시더라도 100% 정도 올랐습니다
211,그러니까요 시기가 사실
212,굉장히 크단 말이죠 그림이
213,50% 100% 이런 식으로 올라가기
214,때문에 이렇게 올라가는 템포만 잘
215,잡으면
216,50% 전후식을 잡을 수는 있어요
217,근데 설령 여기서 잘못 잡으면
218,생각할 때는요
219,70% 손실이 날 수가 있어요 그래서
220,여러분들께서
221,단기 투자는 하셔도 됩니다
222,단기로 올라갔을 때 화끈하게 올라가기
223,때문에 한 달 두 달 세 달 이렇게
224,매매에서 내가 수익 보고 나온다 이런
225,생각을 갖고 매매하시는 건 괜찮은데
226,너무 오랜 시간 이런 종목을
227,장기투자한다는 것은 너무 위험한다는
228,거예요 그때그때 상황에 따라서 대응을
229,하시는 쪽으로 하시는게 맞고 몇 가지
230,이슈에 대해서 말씀드릴 건데요 이전
231,시간에서도 말씀드렸지만
232,엔화가 굉장히 싸기 때문에
233,엔화를 사는 것도 굉장히 유익하다라고
234,말씀드렸고 일본 증시가 결국에 대세를
235,탄다라고 말씀드렸죠 몇 달 전부터
236,일본 전성기가 온다라고 했죠 저희가
237,지금 편의점에 가보면 일본 제품들이
238,도배되고 있고요
239,애니메이션이 인기가 급등하고 있고요
240,일본 여행들이
241,인기가
242,폭등하고 있습니다 그래서 이제 국내
243,여행권인 뭐 강원도 같은 제주도 같은
244,경상도 같은이 지역들의 인기가
245,쉽고 있고 일본 여행의 인기는
246,급등하고 있다는 거 그래서 최근 일본
247,증시가
248,고공행진하고 있는데요
249,대세는 1학개미입니다
250,토픽스라는 지수가 일본 버블 붕괴가
251,발생했던 지난 1990년 8월 이후
252,33년 만에 최고치를
253,경신했습니다 상승 이유 중에 한
254,가지가 이제 일본 주식을 살 거
255,아니에요 예를 들어서 뭐 소니를 산다
256,예를 들어서
257,그러면 소니를 사서 수익이 날 수도
258,있죠 첫 번째가 근데이 소니 주식을
259,사려면 뭐가 필요하죠 일본 돈이
260,필요하잖아요 그래서 일본 돈이 지금
261,저가니까 일본 돈을 사서 소니를 사면
262,소니가 올랐을 때 돈을 벌 수도 있고
263,엔화가 올랐을 때 두 번째로
264,엔화 수익을 볼 수가 있죠 두 가지의
265,수익을 볼 수가 있는 거예요 그래서
266,해외 투자자들이 미국 주식을 버리고
267,일본 주식을 사고 있어요 지금 미국
268,주식은 달러가 조금 높게 형성되어
269,있고
270,엔화는 바닥이잖아요
271,엔화가 여기서 더 떨어지겠
272,라고 생각을 가지시는 분들이 많기
273,때문에
274,엔화로 환전해서 일본 주식을 사서 두
275,가지의 수익을 보는 거예요
276,엔화 수익 주식 수익 그래서 현재
277,일본 증시가 인기가 굉장히 많다
278,그래서 이전에도 말씀드렸지만
279,물의 시대에서는 일본 전성기가
280,열린다고 했어요 그래서 일본 전성기가
281,열리면서 미국이
282,몰락한다고 했죠 제가 그 다음으로
283,미국 금융전문가들은 부채 한도 협상을
284,둘러싸고 결국 협상이 타결될 것으로
285,내다봤는데요 뭐 결국에 쇼맨십이죠
286,살인미술을 지으면서 거짓말 치면서
287,달러를 찍고 있죠
288,달러를 계속해서 찍기 때문에
289,물가는 올라가고 있고요 지금 제2의
290,인플레이션이 벌어지고 있어요 지금
291,증시가 갑자기 계속 좋아지고 있는
292,이유가 제2의 인플레이션이 벌어지고
293,있다는 거죠 미국 상업용 부동산
294,가격이 1분기에 2011년 이후로
295,처음 떨어졌는데요 상업용 부동산이
296,문제가 뭐냐면 지금 대부분
297,지역은행들이 대출을 담당하고 있고
298,만약에이 건물들의 가격이 하락했을
299,때는
300,지역 은행들이 문을 닫아요 그냥
301,파산하자 한번에
302,그러니까 우리나라 같은 경우는
303,신협이나
304,새마을금고
305,지역 농협 같은 곳들이이 부동산
306,시세가 떨어졌을 때 문을 닫아야 돼요
307,폐업한다는 거죠 한마디로
308,그러니까 부도가 난다는 거예요
309,한마디로 미국 같은 경우이 문제로
310,인해서 많은 은행들이
311,문을 닫고 있고 다들 예정이에요
312,문제가 굉장히 심각한데 보통 사람들은
313,모르죠 올해 1분기 전 세계 부채가
314,직전 분기보다 1경원 이상 증가한
315,것으로 나타났습니다
316,화폐 발행량이 1경험만큼 증가했다고
317,이해하시면 쉽고요
318,화폐량이 증가했다는 것은
319,물가가 화폐양에 대비해서 올랐다고
320,보시면 됩니다 제2의
321,인플레이션이 본격적으로
322,시작되고 있습니다 영국 최대의
323,통신기업 BT 그룹이 전체인력의
324,42%를
325,2030년까지
326,감축하기로 발표했는데요 대략
327,"55,000명이죠 자동화 시대에"
328,대비해서 대기업들이 본격적으로
329,움직이고 있습니다
330,인간 전화상담원을 대신할 인공지능
331,콜센터 시장 경쟁이 치열해지고
332,있습니다
333,네이버에 이어 카카오도 시장 진출을
334,본격화 했는데요 사람이 할 일들이
335,로봇이 하게 되어 일자리는 갈수록
336,더욱 기해질 예정입니다
337,이렇게 지역은행에 파산이
338,결과적으로
339,연쇄 파산으로 이어져서
340,경제 대공황을 불러올 수 있고 그럴
341,달이 머지 않았다라고 이야기했습니다
342,그러면서 그는 이러한 상황 속에서
343,우리가 그래도 안전자산으로 보유할
344,만한 그런 자산을 꼽았는데요 그게
345,금과은 그리고 비트코인이었습니다 오늘
346,관련한 내용 첫 번째로 좀
347,전해드렸고요이어서 두 번째 쇼 바로
348,넘어가 보겠습니다 오늘 두 번째 시험
349,한번 살펴보시죠 중국의
350,암호화폐 거래 허용 시사를 나타내는
351,발언들이 이어졌습니다 자 간밤에
352,중국의 중앙텔레비전인
353,CCTV 네트워크가
354,6월 1일부터 홍콩의 개인투자자들이
355,암호화폐 구매를 허용한다는 내용을
356,1분 39초간 상세 보도했습니다 자
357,그 보도 내용들 좀 캡처를 해
358,왔는데요
359,실제로 중국은
360,언론을 좀 정부 측에서 장악하고 있기
361,때문에 이렇게 중국 언론에서
362,암호화폐 거래 허용에 관해서
363,시사하는 바를 계속해서
364,언급했다는
365,그러한 맥락을 보고 많은 투자자들은
366,중국 문이 열렸다라고 또
367,표현을 하기도 했습니다
368,게다가 여기서 자오창펌 같은 경우에는
369,중국의 cctv가
370,암호화폐 관련한 내용을 이렇게
371,보도했다라는 거 자체가 정말 큰
372,의미가 있다고
373,이야기를 하기도 했고요
374,스멀스멀 투자자들 사이에서는 중국으로
375,인해서 우리 시작이 또 한번
376,활기를 또 열지 않을까라는 그런
377,의견들도 내세우고 있는 상황입니다
378,바로 6시간 전에 올라온 속보였고요
379,여러분도 참고해 보시면 좋을 것
380,같습니다 자이어서 오늘 마지막에 시험
381,한번 살펴보겠습니다 오늘 세 번째
382,이슈 한번 살펴보시죠네
383,검찰의 항소로 권도형 대표가 이제
384,다시 구금이 됐습니다
385,한국 송환 계획은 아직까지는
386,깜깜무소식이다라고 합니다
387,얼마 전에이 보석이 허용됐다는 소식을
388,전해 드렸었는데요 또 간밤에 다시
389,한번 더 구금됐다는 소식이
390,전해졌습니다 일단
391,권대표는 앞으로 계속 구금돼서 재판을
392,됐는데요
393,국내 송환절차는 여전히 속도를 내고
394,있지 못하다라는 현재 기자의 또
395,발언들까지도 이어졌습니다 일단은
396,검찰이 바로 항소를 해서
397,국금의 관해서 강력하게 주장한 것으로
398,나타나지고 있고요
399,그렇기 때문에
400,법원에서 이러한 검찰 측의 항소를
401,받아들임으로써 건동대표 다시 구금돼서
402,앞으로 수사를 받게 된다라고 합니다
403,한국 송학 그리고 미국 법정에 언제
404,서게 될지가 좀 중요한 요인이 될 것
405,같은데요
406,관련한 내용도 저희가 계속 살펴보도록
407,하겠습니다 이렇게 해서 오늘 저와
408,함께 브리핑까지 맞춰 보셨구요 저는
409,잠시 뒤에 앵커석에서 찾아뵙도록
410,하겠습니다 자 오늘의 코인 가자
411,
412,안녕하세요
413,jd 부장부터의 소장 조던입니다
414,오늘은
415,연준일반 주가 상승 시나리오라는
416,주제로 말씀드리도록 하겠습니다
417,2023년 4월 28일 금요일
418,시황입니다
419,2023년 4월 jd부장부터 23개
420,공지를 합니다 주식 강의는 이번 주
421,일요일까지 모집을 하니 관심이 있으신
422,분들은 동영상 아래 링크를 참조해
423,주시기 바랍니다
424,유튜브 멤버십에서는 최근 jd부장구서
425,투자 현황에 대해서 알 수 있습니다
426,관심 있으신 분들은 동영상 아래
427,링크를 참조해 주시기 바랍니다
428,뉴욕마켓워치 미 1분기 GDP
429,1.1% 성장 주식 달러 올라가고
430,채권 떨어졌다라는 기사가 있습니다
431,어제는 나스닥이 2.43% s&p
432,500 지수는 1.96% 다우존스
433,지수는 1.57% 오르면서 3대 지수
434,모두 상승했습니다
435,메인 이슈입니다
436,연존발 주가상승 시나리오
437,마이크로소프트 알파벳 메타이어
438,아마존도 어닝 서프라이즈를 하려 하나
439,했습니다
440,그러나 아마존은 실적발표 후
441,시간외에서 12%
442,먼저 올랐으나 지금은 2% 떨어진
443,상태입니다 아마존의 클라우드 매출
444,성장이 단기적으로 약화될 수 있다는
445,아마존 최고 경영진의 가이던스
446,때문입니다 아마존의 어닝은 내일 새벽
447,5시가 끝나야 확실히 알 수 있습니다
448,내일 새벽 5시에 아마존이 오르면
449,어닝 서프라이즈고 떨어지면 쇼크입니다
450,그러나 전체적으로 보면 주가에는
451,긍정적입니다 미국의 gdp가 1.1%
452,증가했습니다
453,기대인 2.0% 훨씬 못 미치는
454,수치가 나왔는데요
455,따라서
456,경기침체 우려가 있습니다
457,그러나 반대로 연준의 금리당 약발이
458,먹히고 있다는 증거이기도 합니다
459,그런데 소비는 늘고 있죠 그래서
460,인플레이션 우려가 있다는 것입니다
461,소비가 늙어 있는 이유는 무엇입니까
462,바로 신규실업 보험 청구자수가 감소한
463,탓입니다
464,즉 실업자가 줄고 있으니 고용은
465,탄탄한 것입니다 한쪽에서는 경기침체
466,한쪽에서는 인플레이션이 걱정이라고
467,증가했다고 발표를 하면서 주가가
468,반대로
469,5% 이상 상승을 했습니다
470,이번 은행 사태가
471,다른 은행들로 전이되진 않더라도
472,경기가 위축될 가능성이 커질 수 있을
473,것으로 전망을 하고 있습니다 이번에
474,기술주 봅니다 어제 장마간 후에
475,실적을 발표한 마이크로소프트 주가
476,월가의 예상치를 뛰어넘는 일부기 실적
477,이후 오늘
478,7% 이상 급등을 했습니다 나스닥의
479,상승을 이끌었어요 마이크로소프트는
480,인텔리전트 클라우드 사업 부문에서
481,큰 매출 성장을 이뤘다고 발표했습니다
482,더불어서 실적발표를 앞둔 클라우드
483,서비스 강좌 아마존입니다 아마존의
484,주가도 2% 이상 함께 뛰었어요
485,마이크로소프트는
486,개발한 오픈 ai의 수십억 달러를
487,추가로 투자를 했고 마이크로소프트의
488,검색엔진
489,빙의해
490,채취 bt의 최신 모델을 사용할
491,것이라고 밝혔습니다
492,특히 마이크로소프트는
493,앞으로 ai가
494,회사 수익을 견인할 것으로 보고 있고
495,제 gpt에 더 많은 투자를 할
496,것이라고 밝혔습니다 이로
497,인한 수익은 시간이 지남에 따라서
498,기하급수적으로
499,증가할 것으로 덧붙였습니다
500,마이크로소프트가 제 GPD 특수를 잘
501,활용한다면 주가가
502,추가로 상승 부동의 시총 1위 기업
503,f를 제칠 수도 있을 전망이라고 나와
504,있습니다 마이크로소프트
505,시총 전체 아시다시피 세계 2등입니다
506,시총 2조 2천억 달러
507,현재 1위는 애플입니다
508,시총이 2조
509,"5,960억 달러입니다"
510,마이크로소프트의 시종이 앞으로
511,4천억 달러 정도만 더 오르면
512,애플의 시종을 추월할 정도입니다
513,현재
514,애플 마이크로소프트 알파벳 아마존이
515,시가총액 1조 달러 이상 클럽에 들어
516,있습니다 그 다음이 엔비디아인데 한참
517,모자릅니다
518,6650억 달러 1조 달러에는 아직
519,한참 못 미치죠 그래도 엔비디아가
520,많이 올라온 거예요
521,메타와 테슬라까지 제치면서 그 다음에
522,미터
523,5370억 달러 그 다음에 테슬라
524,4870억 달러
525,그러니까 1조 달러가 되려면
526,현재 미터나 테슬라는 2배 이상의
527,상승을 해야 됩니다 또 반면에
528,구글의 모회사 알파벳 추가는
529,0.13% 하락했습니다 알파벳 역시
530,예상치를 상위한 1분기 실적을 보고
531,있는데
532,매출 성장이 전년 동기 대비 겨우
533,3%에 불과한 것으로 나타나면서
534,주가는 약세를 보였습니다
535,엔비디아 주가도 마이크로소프트가
536,인공지능
537,서비스를 고객에게 제공하는데
538,필요한
539,장비 지출을 늘렸다는 소식에 3%
540,가까이 올랐습니다
541,amg도 2.55% 올랐습니다
542,마이크론이
543,메모리 반도체 마이크론이 5%로
544,반도체주들 중에서 가장 많이
545,올랐습니다 또 전기 자주 대장주주
546,테슬라 오늘도
547,4.31% 하락해서 지금 153달러로
548,내려앉았습니다 또 페이스북에 모여서
549,메타플랫폼이
550,분기 기준으로
551,4분기 만에
552,매출 성장세를 기록을 했습니다 지금
553,시장 외 전기장 외에 애프터 마켓에서
554,주가가 폭등하고 있습니다 1분기
555,실적을 발표하고
556,지난 1월부터 3월 매출이 286억
557,5천만 달러
558,기록을 냈다고 밝혔습니다
559,약 39조 가까운 돈이에요 이것은
560,시장조사기관
561,refinitive가 집계한 월가
562,예상치 276억 5초만 달러 이후를
563,훨씬 상위하는 것이
564,지난해 같은
565,기간보다 3%
566,늘어난 수치입니다
567,메타에 분기 매출이 이렇게 증가한
568,것은
569,작년 1월 이후에
570,4분기 만입니다
571,작년 이사분기는 전년 대비 매출이
572,계속
573,줄어들면서 몇 분기 동안 계속
574,역성장을 했었습니다 1분기
575,순이익이
576,57억 천만 달러 우리 돈으로
577,"7조 6,400억"
578,짓게 되면서 1년 전보다 24%
579,줄어들었어요 주당 순이익은
580,2.2달러입니다
581,시장 예상치 2.02달러를 넘어섰어요
582,또 페이스북 1일 이용자 수는
583,20억 4천만명
584,월간 이용자 수는 29억 9천만명
585,어마어마한
586,인원이죠
587,시장 예상치와 비슷하거나 예산치를
588,상회했습니다
589,메탄은 또 2분기 매출이
590,월세 예상치를 또 웃더라도
591,정류장에서는
592,0.89% 상승을 했어요 주가가
593,장 마감 후
594,실적발표 후에
595,메타의 주가는 지금 시간의 거리에서
596,11.65%
597,폭등을 한 상태입니다
598,메타가
599,작년 11월에 만 천명을
600,해고한데이어서
601,지난달에도 만 명에 대한
602,추가 구조조정 계획을 밝히면서 비용
603,축소에 힘을 써 왔습니다
604,미국 시간으로 이제 오늘 밤에는
605,미국의 1분기 국내총생산
606,gdp 성장률 또 내일 금요일에는
607,3월 개인 소비지출 pc2 인플레이션
608,지표가 발표됩니다
609,특히 pce는
610,연방준비제도가 선호하는 인플레이션
611,지표로 알려져 있어요
612,투자자들은 중앙은행의
613,추후
614,긴축 향방에 대한
615,단서를 얻기 위해서 여기에 주목할
616,것으로 보입니다
617,현재 연준이 5월 초 5월 회의에서
618,금리를
619,0.25%
620,인상할 가능성이
621,먼저는 90%까지 올라갔다가 지금
622,퍼스트 리퍼블릭 때문에
623,72%로 떨어졌습니다
624,금리 동결 가능성이 10%에서
625,28%로
626,늘었어요 그래서
627,금리인상 가능성이 줄어들었고
628,금리 동결 예상이 늘었습니다
629,블룸버그는
630,포스트 리퍼블릭이 위기가 지속이
631,되면서
632,연준이 이번 5월 fmc에서는 금리를
633,동결할 가능성 제기하고 있어요 대신
634,5월 금리 인상을 건너뛰고
635,6월에 인산할 가능성이 있다라고
636,전망을 하고 있는 상황입니다
637,시카고 옵션거래소 변동성 지수 공포
638,지수라고 그러죠 vix는 18.84를
639,나타냈습니다
640,안녕하세요
641,5월 8일 8일월 해외정치뉴스
642,요약입니다
643,비탄도 위기대한 그림이다 하우스
644,스피커 캐빈 메카시가 6월 1일까지
645,합의를 이뤄낼 수 없을 것 같다는
646,우려에 대비하여 언론에서는 대통령
647,조바이든이 고토 향하고 있음을
648,상기시키며
649,백악관에 로한 그레이 교수는 1조
650,달러 동전을 주주하여 빚을 갚는
651,방식을 건의하고 있다 이러한
652,아이디어들은 모두 가상화폐 정례적인
653,정치에 대한 대안으로부터 나온
654,것이지만 우울한 가능성을 고려할 때
655,현실적인 대안이 나올지는 의문일
656,뿐이다
657,다음은 바이든 노믹스 관련 뉴스입니다
658,지난 4월 25만3000개의 일자리가
659,만들어졌습니다이는
660,경기가 좋아졌음을 보여주지만
661,일자리만큼 농담 없는 문제인 미국
662,경제가 불확실하기 때문에 그 이후에
663,일자리가 많이 줄어들 것으로
664,예상됩니다
665,벤치마크 금리 인상 때문에 지역은행
666,위기라는 문제도 있습니다
667,다음은 미국 지역은행 위기 대처법
668,뉴스입니다
669,국민은행보험 fdic를 상승시키는
670,것이 필요하다는 전 대신 스티븐
671,미누신의 발언과 미국 공화당 의원
672,마르코 루비오와 민주당 위원 로카나가
673,함께 기업계좌에 대한 무제한 연방
674,보험을 확립하기 위해 법안을
675,준비한다는 내용입니다 이에 따라 해당
676,예금을 두고 은행 런을 방지하는 방법
677,개선방안 중 하나로 무제한 예금보험을
678,포함한 fdic 보고서가 발표됐는데
679,지난 6주간 세계지역은행의 파산으로
680,많은 돈이 사라진 점을 고려해 이러한
681,방안에 대한 공함 및 민주양당의
682,입장이 식견 차이가 없다는 분석이
683,나옵니다
684,다음은 미국 백악관이 채무이나 위기가
685,발생하면 경제화 시장에 어떤 영향을
686,미칠지에 초점을 맞춘 뉴스입니다이
